Authors,Title,Year,Venue,Topic model,Supported task,Details of the supported task,Type of data,Document,Length of document,"Where ""length"" is mentioned",Parameter k,Parameter alpha,Parameter beta,Other parameters,Resolving negations,Correcting typos,Expanding contractions,Resolving synonyms,Splitting sentences or a document into n documents,Lemmatizing,Identifying n-grams,Lowercasing,Tokenizing,Splitting words,Stemming,Removing empty documents,Removing long paragraphs,Removing short documents,Removing extra white space,Removing non-informative content,"Removing words shorter than four, three or two letters",Removing least frequent terms,Removing most frequent terms,Removing code snippets,Removing HTML tags,Removing programming language keywords,Removing symbols and special characters,Removing punctuation,Removing stop words,Remove URL,Remove numbers,Topic naming approach,Topic naming procedure,Type of contribution,Other techniques combined,Outcome detail
"Asuncion, H U; Asuncion, A U; Taylor, R N",Software Traceability with Topic Modeling,2010,ICSE,LDA,Documentation,Documentation [artifacts labelling],Source code; Developer communication; Issue/bug report and End user documentation,Text containing a software artifact (tutorials in PDF; presentations in PowerPoint; project specifications in Word; archived emails in an online mailing list; Wiki pages and bug reports in Trac; ArchStudio web pages; research publications in PDF; and developer notes in various file formats),,,"{10, 20, 30}",,,,,,,,1,,,,,,1,,,,,,,,,,,,,,1,,,,,Approach,,Tool (Topically-Rich Artifact Search Engine - TRASE)
"Jiang, H; Zhang, J; Ren, Z; Zhang, T",An Unsupervised Approach for Discovering Relevant Tutorial Fragments for APIs,2017,ICSE,LDA,Documentation,Documentation [extraction/augmenting],End user documentation,Text containing a tutorial fragment,100 to 300 words,Mention on study design - dataset description,,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Approach,,Technique (FRAPT)
"Panichella, A; Dit, B; Oliveto, R; Di Penta, M; Poshynanyk, D; De Lucia, A",How to Effectively Use Topic Models for Software Engineering Tasks? An Approach Based on Genetic Algorithms,2013,ICSE,LDA-GA,Documentation,Documentation [traceability to source code],Source code and Developer documentation,Text with (a) use case; (b) a classe; (c) a method; (d) a feature description,,,"{10, 20, 30, 40, 50}",{0-1 by 0.1},{0-1 by 0.1},i = 500,,,,,,,,,,,,,,,,,,,,,,,,,,,,Automated,Most frequent words in word clusters,Approach,,Technique
"Galvis Carreno, L V;  Winbladh, K",Analysis of User Comments: An Approach for Software Requirements Evolution,2013,ICSE,ASUM,Requirements,Requirements evolution,End user communication,Text of a comment posted as app review,,,"(1) {33, 66, 150}; (2) {24, 48, 150}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manual,Most frequent words in word clusters,Approach,,Technique
"Chen, N; Lin, J; Hoi, S C H; Xiao, X; Zhang, B",AR-miner: Mining Informative Reviews for Developers from Mobile App Marketplace,2014,ICSE,LDA; ASUM,Bug handling,Localization [concerns],End user communication,Text with a user review,,,22,0.01,0.6,"wG = {0.85, 0, 0.15}; wI = {0.2, 0.2, 0.2, 0.2, 0.2}",,,,,,,,1,1,,1,1,,,1,,,1,,,,,1,,1,,,,,Approach; Comparison,,Framework (AR-Miner)
"Henß, S; Monperrus, M; Mezini, M",Semi-automatically extracting FAQs to improve accessibility of software development knowledge,2012,ICSE,LDA (GS),Documentation,Documentation [extraction/augmenting],Developer communication,Text with an entire conversation thread,,,,50/k,0.01,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,Approach,,Semi-automatic aproach
"Chatterjee, P; Damevski, K; Pollock, L;  Augustine, V; Kraft, N A",Exploratory Study of Slack Q&A Chats as a Mining Source for Software Engineering Tools,2019,MSR,LDA,Exploratory study,Exploring information needs in developer communication,Developer communication,Text of a Stack Overflow post (SO corpus); Text containing a Slack conversation thread (S corpus),,Mention on study design - evaluation of technique,20,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,1,,,,Exploration,,"""We found that Q&A chats provide, in lesser quantities, the same information as can be found in Q&A posts on Stack Overflow. However, Q&A chats generally provide more information on API mentions than do Q&A posts"""
"Bajaj, K; Pattabiraman, K; Mesbah, A",Mining Questions Asked by Web Developers,2014,MSR,LDA,Exploratory study,Exploring information needs in developer communication,Developer communication,Text with several Stack Overflow posts,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,Manual,Authors' deduction based on word clusters,Exploration,,"""(1) the overall share of web development related discussions is increasing among developers, (2) browser related discussions are prevalent; however, this share is decreasing with time, (3) form validation and other DOM related discussions have been discussed consistently over time, (4) web related discussions are becoming more prevalent in mobile development, and (5) developers face implementation issues with new HTML5 features such as Canvas."""
"Layman, L; Nikora, A P;  Meek, J; Menzies, T",Topic Modeling of NASA Space System Problem Reports: Research in Practice,2016,MSR,LDA,Exploratory study,Exploring lessons learned in historical data,Issue/bug report,Text of a problem (bug) report,All missions had an average of 404 words per document,Mention on study design - dataset description,"{20, 30, 40, ..., 100, 125, 150, ..., 225}",50/k,0.01,,,,,,,,,1,,,1,,,,,,1,,,,,,,1,1,,1,Manual,Authors' deduction based on word clusters,Exploration,,"""We identify a number of challenges in topic modeling for trend analysis: 1) that the process of selecting the topic modeling parameters lacks definitive guidance, 2) defining semantically-meaningful topic labels requires nontrivial effort and domain expertise, 3) topic models derived from the combined corpus of the six missions were biased toward the larger missions, and 4) topics must be semantically distinct as well as cohesive to be useful."""
"Hu, W; Wong, K",Using citation influence to predict software defects,2013,MSR,CITM,Bug handling,Prediction [defects],Source code and Commit messages,(1) Text with several comments from source code of a certain release; (2) Text with several comments from commits of a certain release,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Approach,,Technique
